Date,PC1,PC2
2018-01-02,0.18359018080877285,-0.07530025393986686
2018-01-03,0.038014576636947926,-0.00341213705837513
2018-01-04,0.028746124195089463,0.023230481011388818
2018-01-05,0.1878455880876373,0.1639834277088197
2018-01-06,0.22094220275181434,0.10619680177365978
2018-01-07,0.08369359917562093,0.1062604035345693
2018-01-08,-0.165122924247358,-0.05609046406775085
2018-01-09,-0.025608322345480897,-0.1236427683023745
2018-01-10,-0.011740361744050054,-0.017532821051161086
2018-01-11,-0.2039822159463575,-0.03716223973458793
2018-01-12,0.1514782976915866,0.06070047767827554
2018-01-13,0.10887449785844018,-0.06607339385739154
2018-01-14,-0.12756094478868574,-0.05309851786639439
2018-01-15,-0.1266219055413495,-0.12032420742328724
2018-01-16,-0.48306010739766364,-0.14709140242342053
2018-01-17,0.02082598288755574,0.12099995264600416
2018-01-18,0.06091697095036366,0.01363758781396897
2018-01-19,0.0006770466322507348,-0.013663437852694638
2018-01-20,0.18407120776206803,-0.022929061383972122
2018-01-21,-0.23471811409428012,-0.061010673283127155
2018-01-22,-0.10728014580629736,-0.004743764173722636
2018-01-23,-0.022400341842565518,0.0034088922485122357
2018-01-24,0.09243395687083375,0.01485117913382474
2018-01-25,0.03570817828408757,0.07131128841571308
2018-01-26,-0.042921214559470955,-0.04174153462177867
2018-01-27,0.05765110707042955,-0.011822146794353713
2018-01-28,0.1197467537293172,-0.056595456775503664
2018-01-29,-0.11499393776187448,-0.013167706998784943
2018-01-30,-0.22191107194388685,-0.040541465905200996
2018-01-31,0.020234951647918043,-0.015367212703107608
2018-02-01,-0.2487753663288712,-0.0646795038526947
2018-02-02,-0.18310629917305066,-0.025950729781346948
2018-02-03,0.22418703217462418,0.039971037490973055
2018-02-04,-0.24161663355948604,-0.04380591764429469
2018-02-05,-0.366349627428986,-0.04256364216508717
2018-02-06,0.29003693165428657,0.0772442620849612
2018-02-07,-0.05753577282864109,0.01751553788112715
2018-02-08,0.14781260113593792,-0.013402887792120111
2018-02-09,0.16044910279559949,0.013421678849959706
2018-02-10,-0.049301530388682846,0.026163132850185743
2018-02-11,-0.07976335320100499,0.038487437839788904
2018-02-12,0.1664911686956279,0.021033485893356792
2018-02-13,-0.02141922832098035,0.04716565067918162
2018-02-14,0.33634713899313157,0.016761528810437475
2018-02-15,0.10981284571659108,0.04138299788575389
2018-02-16,-0.0031286173740506,-0.04733139953876247
2018-02-17,0.04983196892133959,-0.024222105073368597
2018-02-18,-0.1290496945089089,-0.0327237130562149
2018-02-19,0.07596767242539985,0.006765739553779558
2018-02-20,0.031130559587068913,0.05288362584791103
2018-02-21,-0.13916195561705072,-0.007421913300545419
2018-02-22,-0.12403120933684168,0.012163408585446097
2018-02-23,0.11301958463423895,0.0049205560788965225
2018-02-24,-0.05864639922763284,-0.023486495334373327
2018-02-25,0.010786490923862468,-0.03876897528926667
2018-02-26,0.06093764958597774,0.003128193808442688
2018-02-27,0.004817239054817443,-0.01057210219178615
2018-02-28,-0.08455113890467948,-0.0030085364280541473
2018-03-01,0.06624249699523987,0.0012613815875766128
2018-03-02,-0.059198634945277925,-0.10836852901518783
2018-03-03,-0.006612100232188134,-0.033208781856948366
2018-03-04,0.03374732584936361,0.02407991245586858
2018-03-05,-0.03872590508418945,-0.03750453863167727
2018-03-06,-0.15297654470761993,-0.05595157855718845
2018-03-07,-0.17369935707688874,-0.056209793476961485
2018-03-08,-0.08706668232077021,0.050946608842025384
2018-03-09,0.06305248437094661,-0.001870645673582859
2018-03-10,-0.10200546507658122,0.01007657367518979
2018-03-11,0.1218501470525576,-0.0010496529473928984
2018-03-12,-0.08706854892000851,-7.6162215655022e-05
2018-03-13,-0.023586531464623018,-0.006246610004193162
2018-03-14,-0.21128811562359703,-0.012345364430531627
2018-03-15,0.01244669737666492,-0.0017570099299297056
2018-03-16,-0.006660228069107788,-0.002994823112628288
2018-03-17,-0.1399021383128619,0.010092088221171152
2018-03-18,-0.010724831428495282,-0.029303030379714236
2018-03-19,0.09984417265240297,0.031301245243751885
2018-03-20,0.06921069450196446,0.03149366594583896
2018-03-21,0.007277836989379794,-0.0012209893757899595
2018-03-22,-0.06613480328884934,-0.0029377217368720576
2018-03-23,0.02561304784514984,-0.002517890239354059
2018-03-24,-0.04605290029420555,0.03609801466742949
2018-03-25,-0.020310539274141354,-0.01563197648289775
2018-03-26,-0.12002200999444833,-0.003192066887025888
2018-03-27,-0.1381762180562074,0.028773239732740607
2018-03-28,-0.015229132190050225,0.008243436842854628
2018-03-29,-0.24823690531400025,0.022124798099654796
2018-03-30,0.0034774263015229004,-0.029211752055706513
2018-03-31,0.008295159048446858,0.018891457786336642
2018-04-01,-0.0548835109302462,-0.008303862176843528
2018-04-02,0.05710693259103912,0.0015370476250409024
2018-04-03,0.15913513007975685,-0.016905185567567368
2018-04-04,-0.18891333032129057,0.023709967074224885
2018-04-05,-0.005220690778381587,-0.020198703305908
2018-04-06,-0.06503177306423968,0.018842418225421324
2018-04-07,0.0769460007718224,0.012214198649602468
2018-04-08,0.04136947616717218,-0.007251322732765024
2018-04-09,-0.044070537722900975,-0.00829607808101644
2018-04-10,0.06928687752116337,0.07055653983892841
2018-04-11,0.10249746994972334,0.06789141506207066
2018-04-12,0.2276548704294318,-0.0012893812086875235
2018-04-13,0.00838826410348022,0.0535329790668611
2018-04-14,0.03740364284790673,0.022815886164757743
2018-04-15,0.12122095971921946,0.0420753478108381
2018-04-16,-0.048196734224873965,0.03199343500147724
2018-04-17,0.02015513768297963,0.02920773574028494
