,L1,L2
2018-02-01,0.06753482231227845,0.047707035489732624
2018-02-02,0.06689823561567596,0.04755394735057268
2018-02-03,0.06587074422198663,0.047287197128451114
2018-02-04,0.06533632674188386,0.047163592040437935
2018-02-05,0.0595053217093785,0.04398275031786665
2018-02-06,0.057906997715311395,0.04342619472741539
2018-02-07,0.054365251378183946,0.041736571393019235
2018-02-08,0.05385248703967721,0.04157248530005683
2018-02-09,0.04880190543149565,0.03861799024791153
2018-02-10,0.04828772001475494,0.03846798965620074
2018-02-11,0.0482745297976557,0.03849573674768593
2018-02-12,0.04674633031443946,0.03799782378459883
2018-02-13,0.04677289762682765,0.03801548878879841
2018-02-14,0.04643402885552578,0.037933710303762046
2018-02-15,0.045162345799817205,0.037530978410801545
2018-02-16,0.03926811919660561,0.032932615207395946
2018-02-17,0.038774693192402454,0.03276868438194414
2018-02-18,0.03889514395035343,0.032787893922304336
2018-02-19,0.038841306243205656,0.03264630183927936
2018-02-20,0.038517558143678784,0.032562297119280145
2018-02-21,0.03851215820327182,0.032589667991384165
2018-02-22,0.0385621557678478,0.03260179812316464
2018-02-23,0.03855090105203962,0.032580032014974045
2018-02-24,0.038009007509112805,0.03240824397748775
2018-02-25,0.0373640028398466,0.03223743372528588
2018-02-26,0.03739449379523781,0.03224279668225321
2018-02-27,0.03703161599372931,0.03214934827960719
2018-02-28,0.03653580238117385,0.031888763516154155
2018-03-01,0.03701585037776163,0.032002833226546346
2018-03-02,0.038180887859564125,0.0327052751258432
2018-03-03,0.03775348858380527,0.03259085068944301
2018-03-04,0.03545689411164628,0.03153761245503275
2018-03-05,0.034333713657295706,0.03084151841407593
2018-03-06,0.03512884874088561,0.032848881112113405
2018-03-07,0.03494538545978454,0.03325097055364701
2018-03-08,0.030005494325900377,0.02956439492869705
2018-03-09,0.02945260042640066,0.03234735139643583
2018-03-10,0.029738049716853406,0.03241280914189816
2018-03-11,0.029912523675266457,0.032474140762240575
2018-03-12,0.03101353649016895,0.03291716194412011
2018-03-13,0.03094750630204527,0.032789005358955445
2018-03-14,0.03256792746774759,0.03344140073715067
2018-03-15,0.03373787943546568,0.03438084377067806
2018-03-16,0.03313847896423884,0.0342372369099919
2018-03-17,0.022030516020863485,0.019634135676808433
2018-03-18,0.02197566470143856,0.01961288623580602
2018-03-19,0.022247140061850787,0.019743730679870536
2018-03-20,0.022226742148011222,0.019735525767788243
2018-03-21,0.022493414267906034,0.019887939735864817
2018-03-22,0.0232785055806672,0.02026956507989876
2018-03-23,0.02271911751985494,0.019839706766647803
2018-03-24,0.023316299271648973,0.020235797827041147
2018-03-25,0.023185190410048434,0.020172564604367674
2018-03-26,0.021925274168816268,0.01846403404150066
2018-03-27,0.021675175132790117,0.018323184331757586
2018-03-28,0.02150011084439448,0.018252937543473995
2018-03-29,0.02102289458857059,0.018062098571298316
2018-03-30,0.021029762245012136,0.018006448235631044
2018-03-31,0.020882267500279973,0.017943632118893018
2018-04-01,0.020868485196869437,0.01794207439092778
2018-04-02,0.01962816556634845,0.017115306445664787
2018-04-03,0.01921332116074064,0.016935646868340964
2018-04-04,0.019783559671206166,0.01722345881149647
2018-04-05,0.020439230917166304,0.01767843144926904
2018-04-06,0.019994401507752765,0.01747502925168704
2018-04-07,0.019071729388283422,0.016972206502101187
2018-04-08,0.01863721693179745,0.016766393547718507
2018-04-09,0.018712247331894548,0.016818459489822118
2018-04-10,0.018857194019921884,0.016902799287175054
2018-04-11,0.018529053768553773,0.01680625340969975
2018-04-12,0.019143194118085266,0.017102592728128814
2018-04-13,0.019109522441298238,0.017084107499571462
2018-04-14,0.018786622754220952,0.016897296630613706
2018-04-15,0.018700371474939283,0.016837541571504282
2018-04-16,0.018569881998284084,0.01681163719384808
2018-04-17,0.01866850758529818,0.016942622188192192
2018-04-18,0.017993510138988617,0.016587860069325774
2018-04-19,0.018083717928002258,0.016600108078932498
2018-04-20,0.017720785385163154,0.01636359656845266
2018-04-21,0.017784751245235958,0.01641739906295253
2018-04-22,0.017875670724158695,0.016447176463358526
2018-04-23,0.018120443689892927,0.01652131098768673
2018-04-24,0.018573180053097993,0.01670992560177112
2018-04-25,0.018420026642829684,0.016611433560234548
2018-04-26,0.018975725950736252,0.017074806292039526
2018-04-27,0.018740694470684438,0.017060172066269804
2018-04-28,0.01880289891683634,0.01708841646257149
