,L1,L2
2018-02-01,0.00017147649582837515,0.0007580799712779465
2018-02-02,0.00016659552682575865,0.0007540194021819121
2018-02-03,0.0001285215734876423,0.0005878015260194707
2018-02-04,0.00011826886378794865,0.0005629013802938989
2018-02-05,0.0001262085134053348,0.0005933434726632834
2018-02-06,0.000134761770816047,0.0006467930629677744
2018-02-07,0.000134761770816047,0.0006467930629677744
2018-02-08,0.00016748861775961466,0.0007369910116630479
2018-02-09,0.000158089556057079,0.0007251866354951498
2018-02-10,0.00014886298521919056,0.0006818551968150628
2018-02-11,0.00014349500857688616,0.0006701378265056504
2018-02-12,0.00012189766819248674,0.0006130217577982153
2018-02-13,0.00012189766819248674,0.0006130217577982153
2018-02-14,0.00014131397316268293,0.0007346218048970642
2018-02-15,0.0001043546654822293,0.0006243998511621901
2018-02-16,0.00012758545314514938,0.0006815576631032846
2018-02-17,0.0001279311925533773,0.0006816570817374799
2018-02-18,0.00011636819367438767,0.000564034104877005
2018-02-19,0.00012144737068709235,0.0005792560783975861
2018-02-20,0.0001020049057106967,0.0004903005852698968
2018-02-21,0.00010249233024144794,0.0004950003740927524
2018-02-22,0.00010280019874635976,0.0004987257200671946
2018-02-23,0.00010280019874635976,0.0004987257200671946
2018-02-24,0.00010558935510935827,0.0005114181024119024
2018-02-25,0.00010558935510935827,0.0005114181024119024
2018-02-26,0.00010558947951034778,0.0005114181033162564
2018-02-27,0.00011971364611541163,0.0005942774710019225
2018-02-28,0.00011971364611541163,0.0005942774710019225
2018-03-01,0.00012926104065263608,0.0006061700353846249
2018-03-02,0.00014375273046075485,0.0006271677272580599
2018-03-03,0.00013765293969138573,0.0006166740475330051
2018-03-04,0.00012758784334833406,0.0005837814654403311
2018-03-05,0.00010435705568541398,0.0005159022440232406
2018-03-06,0.00017676766241410402,0.0008227622424675895
2018-03-07,0.000171859117562137,0.0008164173527897532
2018-03-08,0.00017003972496977202,0.0008139462914535653
2018-03-09,0.0001554101014845516,0.0007808103547372573
2018-03-10,0.0001369718532470872,0.0007353551816513783
2018-03-11,0.00014631520453603844,0.0007464405664594773
2018-03-12,0.00013525517471571838,0.0007298056556502204
2018-03-13,0.00013259602115669317,0.0007258627799961506
2018-03-14,0.0001285883718962419,0.0007221690496123019
2018-03-15,0.00013419871231316535,0.0007265057431184646
2018-03-16,0.00013285426070226355,0.0007246836441532333
2018-03-17,0.00013285426070226355,0.0007246836441532333
2018-03-18,0.00013840864959780916,0.0007306800584055572
2018-03-19,0.00014204251205630208,0.0007358711443698893
2018-03-20,0.00013743252591805546,0.0007313738061815859
2018-03-21,0.00013737303896988254,0.0007313468670800871
2018-03-22,0.0001453286015907218,0.0007444896572635742
2018-03-23,0.0001406369948651065,0.000738826282882555
2018-03-24,8.878960357745769e-05,0.0004535688581240273
2018-03-25,8.92637718440531e-05,0.00045380882779380376
2018-03-26,8.387680022310315e-05,0.00044538078071899644
2018-03-27,8.068412565166369e-05,0.0004410905958812781
2018-03-28,8.06841021982023e-05,0.0004410905957954437
2018-03-29,8.070117419692324e-05,0.00044112689605240536
2018-03-30,0.00011707446413605424,0.0006027035524795005
2018-03-31,0.00011402113321571945,0.0006007861794823054
2018-04-01,0.00012091284813413056,0.0006148366086891747
2018-04-02,0.00012160840880086864,0.0006153386484788456
2018-04-03,0.0001243457647090735,0.0006206241848077538
2018-04-04,0.000127416438159755,0.0006235075047768239
2018-04-05,0.00011313605794616328,0.0006000329744349943
2018-04-06,9.15944078808701e-05,0.0005367254333201441
2018-04-07,8.869436655072581e-05,0.0005344402008726448
2018-04-08,8.783788289778473e-05,0.000532623439810721
2018-04-09,0.00012948951909035923,0.000683347509277721
2018-04-10,0.00012948951909035923,0.000683347509277721
2018-04-11,0.000173380955493763,0.0009157165895110432
2018-04-12,0.00017374274462742846,0.0009157957999022395
2018-04-13,0.00017682755985169198,0.0009191513220330019
2018-04-14,0.0001764657707180265,0.0009190724008380237
2018-04-15,0.00018097667439176575,0.000922542299539868
2018-04-16,0.0001828697137745399,0.0009234887487181107
2018-04-17,0.00020482489252444773,0.0009683817036341584
2018-04-18,0.00021082471648377257,0.0009734272708825569
2018-04-19,0.00021204677673084243,0.0009645404983375955
2018-04-20,0.00023534100227500573,0.0010050718467202353
2018-04-21,0.00023534100227500573,0.0010050718467202353
2018-04-22,0.00020851537652993683,0.0009648698521937987
2018-04-23,0.00021178795393461073,0.0009760436787382236
2018-04-24,0.00018097624364642618,0.0009157733845687297
2018-04-25,0.0001997478302995558,0.0009498183312214867
2018-04-26,0.00023888079976305907,0.0010234313232799991
2018-04-27,0.00023400010383855824,0.0010180844570190169
2018-04-28,0.0002204737165656225,0.0009788588437996282
2018-04-29,0.0002204737165656225,0.0009788588437996282
2018-04-30,0.00017477313678064283,0.0007634130670333
2018-05-01,0.00014568548706015306,0.0007042577263418383
2018-05-02,0.00013640208440033556,0.0006768788198875199
2018-05-03,0.00014334785418732444,0.0006967646294348828
2018-05-04,0.00014334785418732444,0.0006967646294348828
2018-05-05,0.00014348083063185028,0.0006967878272720061
2018-05-06,0.00012708032501489944,0.0006577258715958215
2018-05-07,0.00012494594539686713,0.0006624067462757706
2018-05-08,0.00023046375888936214,0.001192345225583885
2018-05-09,0.00022608620202298983,0.0011895378121458428
2018-05-10,0.00022611643911838765,0.0011895392855107783
2018-05-11,0.0001775575453407726,0.0010438782901097574
2018-05-12,0.0001771016483885831,0.0010437799910504866
2018-05-13,0.0001771016483885831,0.0010437799910504866
2018-05-14,0.0001771016483885831,0.0010437799910504866
