Date,BTC,ETH,LTC,DOGE
2018-01-01,13657.2001953125,772.6409912109375,229.0330047607422,0.00890900008380413
2018-01-02,14982.099609375,884.4439697265625,255.6840057373047,0.009145000018179417
2018-01-03,15201.0,962.719970703125,245.3679962158203,0.009320000186562538
2018-01-04,15599.2001953125,980.9219970703125,241.3699951171875,0.009643999859690666
2018-01-05,17429.5,997.719970703125,249.27099609375,0.012167000211775303
2018-01-06,17527.0,1041.6800537109375,296.4540100097656,0.014863000251352787
2018-01-07,16477.599609375,1153.1700439453125,288.45098876953125,0.01708799973130226
2018-01-08,15170.099609375,1148.530029296875,255.76300048828125,0.015045000240206718
2018-01-09,14595.400390625,1299.739990234375,247.03700256347656,0.013419999741017818
2018-01-10,14973.2998046875,1255.8199462890625,250.51800537109375,0.013101999647915363
2018-01-11,13405.7998046875,1154.9300537109375,229.36599731445312,0.011469000019133091
2018-01-12,13980.599609375,1273.199951171875,236.8560028076172,0.013055999763309956
2018-01-13,14360.2001953125,1396.4200439453125,259.1929931640625,0.013023000210523605
2018-01-14,13772.0,1366.77001953125,238.6750030517578,0.011683999560773373
2018-01-15,13819.7998046875,1291.9200439453125,232.7740020751953,0.009856999851763248
2018-01-16,11490.5,1053.68994140625,188.33099365234375,0.006821999792009592
2018-01-17,11188.599609375,1014.25,186.51600646972656,0.007648000027984381
2018-01-18,11474.900390625,1036.280029296875,192.83700561523438,0.00796900037676096
2018-01-19,11607.400390625,1039.0999755859375,192.96400451660156,0.007871000096201897
2018-01-20,12899.2001953125,1155.1500244140625,211.01800537109375,0.008448000065982342
2018-01-21,11600.099609375,1049.5799560546875,190.42100524902344,0.0071310000494122505
2018-01-22,10931.400390625,1003.260009765625,180.00799560546875,0.00673400005325675
2018-01-23,10868.400390625,986.22900390625,177.8070068359375,0.006672999821603298
2018-01-24,11359.400390625,1058.780029296875,179.98699951171875,0.007083000149577856
2018-01-25,11259.400390625,1056.030029296875,180.27200317382812,0.007666999939829111
2018-01-26,11171.400390625,1055.1700439453125,176.73399353027344,0.007236999925225973
2018-01-27,11440.7001953125,1107.0699462890625,180.88600158691406,0.007373000029474497
2018-01-28,11786.2998046875,1246.010009765625,193.86500549316406,0.007464999798685312
2018-01-29,11296.400390625,1182.3599853515625,181.66400146484375,0.0069670001976192
2018-01-30,10106.2998046875,1071.1300048828125,165.2760009765625,0.006023999769240618
2018-01-31,10221.099609375,1118.31005859375,163.3509979248047,0.006010000128298998
2018-02-01,9170.5400390625,1036.7900390625,142.2969970703125,0.005028999876230955
2018-02-02,8830.75,915.7849731445312,131.37899780273438,0.004474999848753214
2018-02-03,9174.91015625,964.0189819335938,160.25,0.005164000205695629
2018-02-04,8277.009765625,834.6820068359375,148.02499389648438,0.004399000201374292
2018-02-05,6955.27001953125,697.9509887695312,125.33000183105469,0.0035329998936504126
2018-02-06,7754.0,793.1220092773438,142.99099731445312,0.004360999912023544
2018-02-07,7621.2998046875,757.0679931640625,138.2030029296875,0.004296999890357256
2018-02-08,8265.58984375,817.8070068359375,149.46600341796875,0.00456599984318018
2018-02-09,8736.98046875,883.864990234375,163.9499969482422,0.004999999888241291
2018-02-10,8621.900390625,860.4149780273438,155.59300231933594,0.004989000037312508
2018-02-11,8129.97021484375,814.6599731445312,148.99000549316406,0.00495600001886487
2018-02-12,8926.5703125,868.7069702148438,161.5659942626953,0.0054720002226531506
2018-02-13,8598.3095703125,845.2579956054688,159.5540008544922,0.005638000089675188
2018-02-14,9494.6298828125,923.5609741210938,213.35899353027344,0.006730000022798777
2018-02-15,10166.400390625,936.9760131835938,225.42599487304688,0.007346999831497669
2018-02-16,10233.900390625,944.2100219726562,230.12399291992188,0.007034000009298325
2018-02-17,11112.7001953125,974.114990234375,229.46499633789062,0.0070489998906850815
2018-02-18,10551.7998046875,923.9210205078125,215.73599243164062,0.006424000021070242
2018-02-19,11225.2998046875,943.864990234375,223.0570068359375,0.006697000004351139
2018-02-20,11403.7001953125,895.3709716796875,232.8509979248047,0.0070940000005066395
2018-02-21,10690.400390625,849.9710083007812,213.3520050048828,0.006581000052392483
2018-02-22,10005.0,812.844970703125,195.30799865722656,0.006258999928832054
2018-02-23,10301.099609375,864.1890258789062,209.3090057373047,0.006647999864071608
2018-02-24,9813.0703125,840.5150146484375,209.4219970703125,0.0063240001909434795
2018-02-25,9664.73046875,844.8099975585938,220.47500610351562,0.006142000202089548
2018-02-26,10366.7001953125,869.3150024414062,220.96200561523438,0.0063390000723302364
2018-02-27,10725.599609375,878.2650146484375,216.5989990234375,0.006291000172495842
2018-02-28,10397.900390625,855.198974609375,202.89500427246094,0.006018000189214945
2018-03-01,10951.0,872.2000122070312,209.75,0.006215000059455633
2018-03-02,11086.400390625,856.85302734375,212.55599975585938,0.005481999833136797
2018-03-03,11489.7001953125,857.2249755859375,210.64300537109375,0.0053010000847280025
2018-03-04,11512.599609375,866.677978515625,213.7989959716797,0.005501999985426664
2018-03-05,11573.2998046875,853.6840209960938,211.1750030517578,0.005218000151216984
2018-03-06,10779.900390625,816.9509887695312,196.6009979248047,0.004610000178217888
2018-03-07,9965.5703125,752.8309936523438,185.83900451660156,0.004023999907076359
2018-03-08,9395.009765625,704.5960083007812,176.51100158691406,0.004025000147521496
2018-03-09,9337.5498046875,728.916015625,187.16799926757812,0.004145999904721975
2018-03-10,8866.0,686.8900146484375,177.73199462890625,0.003973000217229128
2018-03-11,9578.6298828125,723.3389892578125,188.9459991455078,0.004209999926388264
2018-03-12,9205.1201171875,699.8309936523438,178.23399353027344,0.004031999967992306
